ft,at,sl,med,lanes,terrain,capacity
Freeway,Urban,25,Restrictive,1,level,4262
MLHighway,Urban,25,Restrictive,1,level,3337
TLHighway,Urban,25,Restrictive,1,level,1249
PrArterial,Urban,25,Restrictive,1,level,1260
MinArterial,Urban,25,Restrictive,1,level,1080
Collector,Urban,25,Restrictive,1,level,750
Local,Urban,25,Restrictive,1,level,700
Freeway,Suburban,25,Restrictive,1,level,4203
MLHighway,Suburban,25,Restrictive,1,level,3288
TLHighway,Suburban,25,Restrictive,1,level,1249
PrArterial,Suburban,25,Restrictive,1,level,1080
MinArterial,Suburban,25,Restrictive,1,level,900
Collector,Suburban,25,Restrictive,1,level,850
Local,Suburban,25,Restrictive,1,level,800
Freeway,Rural,25,Restrictive,1,level,4145
MLHighway,Rural,25,Restrictive,1,level,3429
TLHighway,Rural,25,Restrictive,1,level,1249
PrArterial,Rural,25,Restrictive,1,level,1080
MinArterial,Rural,25,Restrictive,1,level,900
Collector,Rural,25,Restrictive,1,level,850
Local,Rural,25,Restrictive,1,level,800
Freeway,Urban,30,Restrictive,1,level,4262
MLHighway,Urban,30,Restrictive,1,level,3337
TLHighway,Urban,30,Restrictive,1,level,1249
PrArterial,Urban,30,Restrictive,1,level,1260
MinArterial,Urban,30,Restrictive,1,level,1080
Collector,Urban,30,Restrictive,1,level,750
Local,Urban,30,Restrictive,1,level,700
Freeway,Suburban,30,Restrictive,1,level,4203
MLHighway,Suburban,30,Restrictive,1,level,3288
TLHighway,Suburban,30,Restrictive,1,level,1249
PrArterial,Suburban,30,Restrictive,1,level,1080
MinArterial,Suburban,30,Restrictive,1,level,900
Collector,Suburban,30,Restrictive,1,level,850
Local,Suburban,30,Restrictive,1,level,800
Freeway,Rural,30,Restrictive,1,level,4145
MLHighway,Rural,30,Restrictive,1,level,3429
TLHighway,Rural,30,Restrictive,1,level,1249
PrArterial,Rural,30,Restrictive,1,level,1080
MinArterial,Rural,30,Restrictive,1,level,900
Collector,Rural,30,Restrictive,1,level,850
Local,Rural,30,Restrictive,1,level,800
Freeway,Urban,35,Restrictive,1,level,4262
MLHighway,Urban,35,Restrictive,1,level,3337
TLHighway,Urban,35,Restrictive,1,level,1249
PrArterial,Urban,35,Restrictive,1,level,1260
MinArterial,Urban,35,Restrictive,1,level,1080
Collector,Urban,35,Restrictive,1,level,750
Local,Urban,35,Restrictive,1,level,700
Freeway,Suburban,35,Restrictive,1,level,4203
MLHighway,Suburban,35,Restrictive,1,level,3288
TLHighway,Suburban,35,Restrictive,1,level,1249
PrArterial,Suburban,35,Restrictive,1,level,1080
MinArterial,Suburban,35,Restrictive,1,level,900
Collector,Suburban,35,Restrictive,1,level,850
Local,Suburban,35,Restrictive,1,level,800
Freeway,Rural,35,Restrictive,1,level,4145
MLHighway,Rural,35,Restrictive,1,level,3429
TLHighway,Rural,35,Restrictive,1,level,1249
PrArterial,Rural,35,Restrictive,1,level,1080
MinArterial,Rural,35,Restrictive,1,level,900
Collector,Rural,35,Restrictive,1,level,850
